iso3,year,cow_code,toa,legal_origin,dur_rat1membership,equalindx_WoL,country_names
ITA,1909,325,1963,2,NA,NA,Italy
JAM,1909,51,1975,1,NA,NA,Jamaica
JOR,1909,663,1963,2,NA,NA,Jordan
JPN,1909,740,NA,3,NA,NA,Japan
KAZ,1909,705,1999,2,NA,NA,Kazakhstan
KEN,1909,501,2001,1,NA,NA,Kenya
KGZ,1909,703,1992,2,NA,NA,Kyrgyzstan
KHM,1909,811,1999,2,NA,NA,Cambodia
KOR,1909,732,1998,3,NA,NA,South Korea
KWT,1909,690,1966,2,NA,NA,Kuwait
LAO,1909,812,2008,2,NA,NA,Laos
LBN,1909,660,1977,2,NA,NA,Lebanon
LBR,1909,450,1959,1,NA,NA,Liberia
LBY,1909,620,1961,2,NA,NA,Libya
LKA,1909,780,1998,1,NA,NA,Sri Lanka
LSO,1909,570,1998,1,NA,NA,Lesotho
LTU,1909,368,1994,2,NA,NA,Lithuania
LUX,1909,212,2001,2,NA,NA,Luxembourg
LVA,1909,367,1992,3,NA,NA,Latvia
MAR,1909,600,1963,2,NA,NA,Morocco
MDA,1909,359,1996,2,NA,NA,Moldova
MDG,1909,580,1961,2,NA,NA,Madagascar
MEX,1909,70,1961,2,NA,NA,Mexico
MKD,1909,343,1991,2,NA,NA,North Macedonia
MLI,1909,432,1964,2,NA,NA,Mali
MMR,1909,775,NA,5,NA,NA,Myanmar (Burma)
MNE,1909,341,2006,NA,NA,NA,Montenegro
MNG,1909,712,1969,3,NA,NA,Mongolia
MOZ,1909,541,1977,2,NA,NA,Mozambique
MRT,1909,435,1963,2,NA,NA,Mauritania
MUS,1909,590,2002,2,NA,NA,Mauritius
MWI,1909,553,1965,1,NA,NA,Malawi
MYS,1909,820,NA,1,NA,NA,Malaysia
NAM,1909,565,2001,1,NA,NA,Namibia
NER,1909,436,1962,2,NA,NA,Niger
NGA,1909,475,2002,1,NA,NA,Nigeria
NIC,1909,93,1967,2,NA,NA,Nicaragua
